city,country,admin_name,capital,population,id
Merida,Mexico,Yucatán,admin,892363.0,1484396779
Nogales,Mexico,Veracruz,minor,21113.0,1484829832
Amityville,United States,New York,,9399.0,1840005140
Baldock,United Kingdom,Hertfordshire,,9900.0,1826427353
Airdrie,Canada,Alberta,,61581.0,1124990202
Lock Haven,United States,Pennsylvania,,16490.0,1840003450
Rincon,United States,Georgia,,14201.0,1840018091
Wilton,United States,Connecticut,,18463.0,1840045106
Brooklyn,United States,New York,,2559903.0,1840034030
West Caldwell,United States,New Jersey,,10858.0,1840131595
Commerce City,United States,Colorado,,60336.0,1840018785
Moose Jaw,Canada,Saskatchewan,,33890.0,1124806868
Hopkinton,United States,Massachusetts,,17598.0,1840053637
Fukushima,Japan,Fukushima,admin,284282.0,1392570027
Flossmoor,United States,Illinois,,9155.0,1840011274
Sao Bernardo do Campo,Brazil,São Paulo,,844483.0,1076793227
La Puente,United States,California,,39614.0,1840020513
Gulf Breeze,United States,Florida,,6900.0,1840013920
Hilversum,Netherlands,Noord-Holland,minor,87817.0,1528160832
Hales Corners,United States,Wisconsin,,7567.0,1840003040
Newcastle,United Kingdom,Newcastle upon Tyne,,1650000.0,1826292220
Lucas,United States,Texas,,8553.0,1840020656
St. Louis Park,United States,Minnesota,,48662.0,1840008935
Pasco,United States,Washington,,75432.0,1840019888
Klamath Falls,United States,Oregon,,43246.0,1840020054
Northridge,United States,Ohio,,7278.0,1840034124
Aydin,Turkey,Aydın,admin,191037.0,1792696058
Fairborn,United States,Ohio,,33876.0,1840008440
Beachwood,United States,Ohio,,11590.0,1840003395
Abington,United States,Pennsylvania,,55459.0,1840035369
Mori,Japan,Shizuoka,,17333.0,1392757253
Moncton,Canada,New Brunswick,,108620.0,1124521303
Moron,Mongolia,Hövsgöl,admin,134530.0,1496482400
Angono,Philippines,Rizal,,113283.0,1608373503
Edwards,United States,Colorado,,9350.0,1840017535
Toms River,United States,New Jersey,,92325.0,1840081605
Jasper,United States,Indiana,,16477.0,1840008646
Coronado,United States,California,,23731.0,1840019354
Toluca,Mexico,México,admin,819561.0,1484124846
Novi,United States,Michigan,,60896.0,1840002423
Angeles City,Philippines,Angeles,admin,411634.0,1608036027
Aurora,United States,Colorado,,379289.0,1840018794
Los Angeles,United States,California,,12750807.0,1840020491
Sachse,United States,Texas,,26046.0,1840020712
Reading,United Kingdom,Reading,,337108.0,1826869043
Briarcliff Manor,United States,New York,,8094.0,1840004948
Ocean,United States,New Jersey,,26709.0,1840056382
Lee's Summit,United States,Missouri,,99357.0,1840032155
